;;Acuan Pencarian;;ditampilkan;;;;;;;;;;;;;;;
Supplier;Name;Order;Supplier;Internal Reference;Item Number;Description;Description2;Quantity Ordered;Unit of Measure; PO Cost ;Currency;Taxable;Tax Class;Tax Rate;Receipt Date;External Reference;Transaction Date;Receipt Quantity;Receipt_Price
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230943;TRD-FC158-1-O;COLLAR, WASHER;3G81-150-7750;21.000,00;PC;27;IDR;No;PPN;12,00%;14/07/2025;250704 D;14/07/2025;5.000,00;135.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230943;TRD-FC158-2-O;COLLAR, PIPA;3G81-150-7750;32.000,00;PC;35;IDR;No;PPN;12,00%;14/07/2025;250704 D;14/07/2025;5.000,00;175.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231024;KYB-FS046-O;STOPPER;12201-01809-;158.000,00;PC;17;IDR;No;PPN;12,00%;14/07/2025;250704 B;14/07/2025;15.000,00;255.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC231027;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;66.000,00;PC;188;IDR;No;PPN;12,00%;14/07/2025;250704 A;14/07/2025;5.000,00;940.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC231026;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;14/07/2025;250704 A;14/07/2025;4.000,00;752.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC231026;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;63.000,00;PC;89;IDR;No;PPN;12,00%;14/07/2025;250704 A;14/07/2025;9.000,00;801.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231028;AHM-FC190-LO;COLLAR RR AXLE DISTANCE;42620-K56-N100;1.000,00;PC;241;IDR;No;PPN;12,00%;14/07/2025;250704 I;14/07/2025;800;192.616,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231030;CN2-FR015-LO;ROD SHIFT;49047-1058LO;2.800,00;PC;77;IDR;No;PPN;12,00%;14/07/2025;250704 K;14/07/2025;800;61.440,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231029;AHM-FP086-3-LO;PIN, KNOCK 6 MM;22830-K41 -N002;8.000,00;PC;209;IDR;No;PPN;12,00%;14/07/2025;250704 J;14/07/2025;4.000,00;836.080,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231029;NKI-FC029-LO;COLLAR;710007-118-0;6.000,00;PC;38;IDR;No;PPN;12,00%;14/07/2025;250704 J;14/07/2025;2.000,00;75.200,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC231034;AHM-FS006-LO;SHAFT GEAR SHIFT FORK;24241-KPH-9002;6.000,00;PC;63;IDR;No;PPN;12,00%;14/07/2025;250704 G;14/07/2025;1.000,00;63.360,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231031;AHM-FD017-LO;PIN DOWEL 6 X 10;94302-06100;28.000,00;PC;63;IDR;No;PPN;12,00%;14/07/2025;250704 G;14/07/2025;4.000,00;253.440,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231031;AHM-FS017-LO;SHAFT REDUCTION GEAR;28132-KPH -9002;6.000,00;PC;59;IDR;No;PPN;12,00%;14/07/2025;250704 G;14/07/2025;3.600,00;212.832,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231031;AHM-FS018-LO;SHAFT REDUCTION GEAR;28132-KGH-9100;6.000,10;PC;48;IDR;No;PPN;12,00%;14/07/2025;250704 G;14/07/2025;3.600,00;171.072,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231033;TYT-FH027-LO;HOL,CAB MOU CUSHION NO.1;52218-0K010;15.000,00;PC;124;IDR;No;PPN;12,00%;14/07/2025;250704 H;14/07/2025;2.100,00;260.064,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231033;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;14/07/2025;250704 H;14/07/2025;3.300,00;408.672,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231033;TYT-FH040-LO;HOL,CAB MOU CUSHION NO.2;52219-KK010;12.000,00;PC;124;IDR;No;PPN;12,00%;14/07/2025;250704 H;14/07/2025;1.800,00;222.912,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231198;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;17/07/2025;250705 F;17/07/2025;34.000,00;3.298.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC231200;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;17/07/2025;250705 C;17/07/2025;16.500,00;4.851.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC231199;AHM-FC193-1-O;PIPA COLLAR HORN SET;#0,8�0,08 X 52�0,5 X1219;18.000,00;PC;36;IDR;No;PPN;12,00%;17/07/2025;250705 D;17/07/2025;6.000,00;216.000,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC231199;KYB-FW001-O;WASHER;12201-01010-OZ2;16.000,00;PC;29;IDR;No;PPN;12,00%;17/07/2025;250705 D;17/07/2025;4.000,00;116.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC231201;RC151;GUIDE CLMP COMP BRK HOSE;43150-K1ZN-N401;80.000,00;PC;349;IDR;No;PPN;12,00%;17/07/2025;250705 E;17/07/2025;5.000,00;1.746.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231246;KYB-FS046-O;STOPPER;12201-01809-;158.000,00;PC;17;IDR;No;PPN;12,00%;17/07/2025;250705 B;17/07/2025;15.000,00;255.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231247;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;17/07/2025;250705 A;17/07/2025;10.500,00;934.500,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231247;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;17/07/2025;250705 A;17/07/2025;8.000,00;776.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231248;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;17/07/2025;250705 A;17/07/2025;-10.500,00;-934.500,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231248;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;17/07/2025;250705 A;17/07/2025;-8.000,00;-776.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231249;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;17/07/2025;250705 A;17/07/2025;8.000,00;1.504.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231249;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;17/07/2025;250705 A;17/07/2025;10.500,00;934.500,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231253;CN2-FR015-LO;ROD SHIFT;49047-1058LO;2.800,00;PC;77;IDR;No;PPN;12,00%;17/07/2025;250705 J;17/07/2025;600;46.080,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC231250;AHM-FS006-LO;SHAFT GEAR SHIFT FORK;24241-KPH-9002;6.000,00;PC;63;IDR;No;PPN;12,00%;17/07/2025;250705 G;17/07/2025;800;50.688,00
