;;Acuan Pencarian;;ditampilkan;;;;;;;;;;;;;;;
Supplier;Name;Order;Supplier;Internal Reference;Item Number;Description;Description2;Quantity Ordered;Unit of Measure; PO Cost ;Currency;Taxable;Tax Class;Tax Rate;Receipt Date;External Reference;Transaction Date;Receipt Quantity;Receipt_Price
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC230900;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;11/07/2025;9,00203E+11;11/07/2025;3.200,00;768.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231016;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;8.000,00;680.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231018;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;14.000,00;1.022.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250281;SCJP0022;RC231021;AHM-FW039-O;WASHER SPECIAL 14 MM;90426-KZL -8400;32.000,00;PC;40;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;8.000,00;320.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250437;SCJP0022;RC231022;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;800;PC;240;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;800;192.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231019;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;7.000,00;476.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231019;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;16.000,00;1.168.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231019;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;2.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231019;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;2.400,00;576.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231023;AHM-FC128-O;COLLAR CAM CHAINTENSIONE;14531-KWS-9001;10.000,00;PC;65;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231023;AHM-FP123-O2;PLATE L BRG SET;11108-KTT -9003;37.500,00;PC;70;IDR;Yes;PPN;12,00%;14/07/2025;9,00203E+11;14/07/2025;4.500,00;315.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231098;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;15/07/2025;9,00203E+11;15/07/2025;1.600,00;384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231097;AHM-FC128-O;COLLAR CAM CHAINTENSIONE;14531-KWS-9001;16.000,00;PC;65;IDR;Yes;PPN;12,00%;15/07/2025;9,00203E+11;15/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231097;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;15/07/2025;9,00203E+11;15/07/2025;3.000,00;255.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231097;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;15/07/2025;9,00203E+11;15/07/2025;4.000,00;780.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231097;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;15/07/2025;9,00203E+11;15/07/2025;3.200,00;768.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231101;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;15/07/2025;9,00203E+11;15/07/2025;-1.600,00;-384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231102;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;08/07/2025;9,00203E+11;15/07/2025;1.600,00;384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250281;SCJP0022;RC231164;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;18.000,00;PC;65;IDR;Yes;PPN;12,00%;16/07/2025;9,00203E+11;16/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231165;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;18.000,00;PC;65;IDR;Yes;PPN;12,00%;16/07/2025;9,00203E+11;16/07/2025;6.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231167;AHM-FP123-O2;PLATE L BRG SET;11108-KTT -9003;16.500,00;PC;70;IDR;Yes;PPN;12,00%;16/07/2025;9,00203E+11;16/07/2025;3.000,00;210.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231166;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;16/07/2025;9,00203E+11;16/07/2025;30.000,00;2.190.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231166;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;16/07/2025;9,00203E+11;16/07/2025;1.000,00;195.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231238;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;10.000,00;730.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231238;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;2.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231239;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;2.000,00;480.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231240;AHM-FD017-O;DOWEL PIN 6 X 10;94302-06100;12.000,00;PC;20;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;2.000,00;40.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250281;SCJP0022;RC231242;IAM-FS081-O;SPACER, RR SPRING;P66231-2110;6.048,00;PC;105;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;3.024,00;317.520,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231241;AHM-FP123-O2;PLATE L BRG SET;11108-KTT -9003;16.500,00;PC;70;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;1.500,00;105.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231241;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;24.000,00;PC;65;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;8.000,00;520.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250281;SCJP0022;RC231243;AHM-FP086-3-O;PIN, KNOCK 6 MM;22830-K41 -N002;8.000,00;PC;33;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;4.000,00;132.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231244;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;18.000,00;PC;65;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;17/07/2025;8.000,00;520.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231284;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;-10.000,00;-730.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231284;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;-2.000,00;-390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231286;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;18/07/2025;10.000,00;730.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231286;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;18/07/2025;1.000,00;195.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231347;AHM-FW067-O;WASHER 12 X 24 X 2,3;90439-KWZ -9002;80.000,00;PC;50;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;8.000,00;400.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231346;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;24.000,00;PC;65;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;8.000,00;520.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231346;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;4.000,00;960.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231348;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;264.001,00;PC;73;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;14.000,00;1.022.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231349;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;4.000,00;292.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231350;AHM-FC133-O;COLLAR CAM CHAINTENSIONE;14531-KYZ -9000;8.000,00;PC;60;IDR;Yes;PPN;12,00%;18/07/2025;9,00203E+11;18/07/2025;2.000,00;120.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250281;SCJP0022;RC231454;AHM-FW039-O;WASHER SPECIAL 14 MM;90426-KZL -8400;32.000,00;PC;40;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;2.000,00;80.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231456;AHM-FC128-O;COLLAR CAM CHAINTENSIONE;14531-KWS-9001;16.000,00;PC;65;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231462;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;3.000,00;204.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231455;AHM-FW067-O;WASHER 12 X 24 X 2,3;90439-KWZ -9002;80.000,00;PC;50;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;6.000,00;300.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231455;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;14.000,00;1.022.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231455;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;2.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231455;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;4.000,00;960.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231458;AHM-FD017-O;DOWEL PIN 6 X 10;94302-06100;26.000,00;PC;20;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;2.000,00;40.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231458;AHM-FP086-3-O;PIN, KNOCK 6 MM;22830-K41 -N002;8.000,00;PC;33;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;2.000,00;66.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231458;AHM-FW039-O;WASHER SPECIAL 14 MM;90426-KZL -8400;28.000,00;PC;40;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;8.000,00;320.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231463;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;21.000,00;1.428.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231461;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;4.000,00;272.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231461;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;4.000,00;780.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231461;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;21/07/2025;9,00203E+11;21/07/2025;2.000,00;480.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231514;AHM-FC133-O;COLLAR CAM CHAINTENSIONE;14531-KYZ -9000;8.000,00;PC;60;IDR;Yes;PPN;12,00%;22/07/2025;9,00203E+11;22/07/2025;2.000,00;120.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231516;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;22/07/2025;9,00203E+11;22/07/2025;5.000,00;425.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231518;AHM-FC133-O;COLLAR CAM CHAINTENSIONE;14531-KYZ -9000;8.000,00;PC;60;IDR;Yes;PPN;12,00%;22/07/2025;9,00203E+11;22/07/2025;2.000,00;120.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231518;AHM-FD017-O;DOWEL PIN 6 X 10;94302-06100;26.000,00;PC;20;IDR;Yes;PPN;12,00%;22/07/2025;9,00203E+11;22/07/2025;2.000,00;40.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231518;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;18.000,00;PC;65;IDR;Yes;PPN;12,00%;22/07/2025;9,00203E+11;22/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231584;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;23/07/2025;9,00203E+11;23/07/2025;14.000,00;1.022.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231584;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;23/07/2025;9,00203E+11;23/07/2025;2.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231584;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;23/07/2025;9,00203E+11;23/07/2025;2.000,00;480.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231647;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;25.000,00;1.700.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231647;AHM-FW067-O;WASHER 12 X 24 X 2,3;90439-KWZ -9002;80.000,00;PC;50;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;10.000,00;500.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231647;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;15.000,00;1.095.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231647;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;1.000,00;85.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231647;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;1.600,00;384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231648;AHM-FC128-O;COLLAR CAM CHAINTENSIONE;14531-KWS-9001;16.000,00;PC;65;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231648;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;2.000,00;170.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231649;AHM-FD017-O;DOWEL PIN 6 X 10;94302-06100;26.000,00;PC;20;IDR;Yes;PPN;12,00%;24/07/2025;9,00203E+11;24/07/2025;2.000,00;40.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231756;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;7.000,00;511.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231755;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;19.000,00;1.292.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231755;AHM-FW072-O;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;73;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;3.000,00;219.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231755;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;2.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231756;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;5.000,00;425.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231757;AHM-FD017-O;DOWEL PIN 6 X 10;94302-06100;12.000,00;PC;20;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;2.000,00;40.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231757;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;7.000,00;595.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231758;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;14.000,00;952.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231758;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;2.000,00;170.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231758;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;25/07/2025;9,00203E+11;25/07/2025;3.200,00;768.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231847;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;28/07/2025;2.800,00;672.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231845;AHM-FC128-O;COLLAR CAM CHAINTENSIONE;14531-KWS-9001;16.000,00;PC;65;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;28/07/2025;2.000,00;130.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231845;AHM-FW034-O;WASHER 16 MM;90501-KBN -9002;132.000,00;PC;68;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;28/07/2025;2.000,00;136.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231845;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;24.000,00;PC;65;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;28/07/2025;8.000,00;520.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231845;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,00;PC;240;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;28/07/2025;1.600,00;384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250463;SCJP0022;RC231848;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;2.400,00;PC;240;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;28/07/2025;400;96.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231909;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,10;PC;240;IDR;Yes;PPN;12,00%;08/07/2025;9,00203E+11;29/07/2025;-1.600,00;-384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231911;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;18.000,00;PC;65;IDR;Yes;PPN;12,00%;17/07/2025;9,00203E+11;29/07/2025;-8.000,00;-520.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250281;SCJP0022;RC231917;IAM-FS081-O;SPACER, RR SPRING;P66231-2110;6.048,00;PC;105;IDR;Yes;PPN;12,00%;29/07/2025;9,00203E+11;29/07/2025;3.024,00;317.520,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231918;AHM-FW079-O;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;85;IDR;Yes;PPN;12,00%;29/07/2025;9,00203E+11;29/07/2025;4.000,00;340.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231918;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;29/07/2025;9,00203E+11;29/07/2025;2.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250463;SCJP0022;RC231920;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;2.400,00;PC;240;IDR;Yes;PPN;12,00%;29/07/2025;9,00203E+11;29/07/2025;1.600,00;384.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250356;SCJP0022;RC231921;AHM-FW046-O;WASHER 14,1 MM;90462-KWW -7400;18.000,00;PC;65;IDR;Yes;PPN;12,00%;28/07/2025;9,00203E+11;29/07/2025;6.000,00;390.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250463;SCJP0022;RC231997;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;2.400,00;PC;240;IDR;Yes;PPN;12,00%;30/07/2025;9,00203E+11;30/07/2025;400;96.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231998;AHM-FW095-O;WASHER, 15X29X7;90401-KWN -9000;68.000,10;PC;240;IDR;Yes;PPN;12,00%;30/07/2025;9,00203E+11;30/07/2025;400;96.000,00
SCJP0022;NANDYA SOLUSI TREATINDO, PT;SC250417;SCJP0022;RC231999;AHM-FW092-O;WASHER, 15X29X5,5;90401-K1N -V000;39.000,00;PC;195;IDR;Yes;PPN;12,00%;30/07/2025;9,00203E+11;30/07/2025;2.000,00;390.000,00
